Date,Ticker,Open,High,Low,Close,Change
9/30/1970,CMSIGBW,181.591,181.591,181.591,181.591,-0.033167943
10/31/1970,CMSIGBW,175.568,175.568,175.568,175.568,0.005815411
11/30/1970,CMSIGBW,176.589,176.589,176.589,176.589,-0.073186892
12/31/1970,CMSIGBW,163.665,163.665,163.665,163.665,-0.584853206
1/31/1971,CMSIGBW,67.945,67.945,67.945,67.945,-0.028832144
2/28/1971,CMSIGBW,65.986,65.986,65.986,65.986,0.040205498
3/31/1971,CMSIGBW,68.639,68.639,68.639,68.639,0.036582701
4/30/1971,CMSIGBW,71.15,71.15,71.15,71.15,-0.03471539
5/31/1971,CMSIGBW,68.68,68.68,68.68,68.68,-0.034784508
6/30/1971,CMSIGBW,66.291,66.291,66.291,66.291,-0.01920321
7/31/1971,CMSIGBW,65.018,65.018,65.018,65.018,0.005367744
8/31/1971,CMSIGBW,65.367,65.367,65.367,65.367,-0.122431808
9/30/1971,CMSIGBW,57.364,57.364,57.364,57.364,-0.072676243
10/31/1971,CMSIGBW,53.195,53.195,53.195,53.195,-0.011786822
11/30/1971,CMSIGBW,52.568,52.568,52.568,52.568,0.042896819
12/31/1971,CMSIGBW,54.823,54.823,54.823,54.823,0.038761104
1/31/1972,CMSIGBW,56.948,56.948,56.948,56.948,0.015628292
2/29/1972,CMSIGBW,57.838,57.838,57.838,57.838,0.009215395
3/31/1972,CMSIGBW,58.371,58.371,58.371,58.371,0.02854157
4/30/1972,CMSIGBW,60.037,60.037,60.037,60.037,0.009227643
5/31/1972,CMSIGBW,60.591,60.591,60.591,60.591,0.008483108
6/30/1972,CMSIGBW,61.105,61.105,61.105,61.105,0.148989444
7/31/1972,CMSIGBW,70.209,70.209,70.209,70.209,0.069179165
8/31/1972,CMSIGBW,75.066,75.066,75.066,75.066,-0.028348387
9/30/1972,CMSIGBW,72.938,72.938,72.938,72.938,0.033562752
10/31/1972,CMSIGBW,75.386,75.386,75.386,75.386,0.001936699
11/30/1972,CMSIGBW,75.532,75.532,75.532,75.532,0.101030027
12/31/1972,CMSIGBW,83.163,83.163,83.163,83.163,0.021728413
1/31/1973,CMSIGBW,84.97,84.97,84.97,84.97,0.071672355
2/28/1973,CMSIGBW,91.06,91.06,91.06,91.06,0.013068307
3/31/1973,CMSIGBW,92.25,92.25,92.25,92.25,0.059945799
4/30/1973,CMSIGBW,97.78,97.78,97.78,97.78,-0.052464717
5/31/1973,CMSIGBW,92.65,92.65,92.65,92.65,0.082784674
6/30/1973,CMSIGBW,100.32,100.32,100.32,100.32,0.105163477
7/31/1973,CMSIGBW,110.87,110.87,110.87,110.87,-0.02615676
8/31/1973,CMSIGBW,107.97,107.97,107.97,107.97,0.009447069
9/30/1973,CMSIGBW,108.99,108.99,108.99,108.99,0.076796036
10/31/1973,CMSIGBW,117.36,117.36,117.36,117.36,0.009798909
11/30/1973,CMSIGBW,118.51,118.51,118.51,118.51,0.124445194
12/31/1973,CMSIGBW,133.258,133.258,133.258,133.258,0.215836948
1/31/1974,CMSIGBW,162.02,162.02,162.02,162.02,0.426922602
2/28/1974,CMSIGBW,231.19,231.19,231.19,231.19,-0.009818764
3/31/1974,CMSIGBW,228.92,228.92,228.92,228.92,-0.087759916
4/30/1974,CMSIGBW,208.83,208.83,208.83,208.83,0.062203706
5/31/1974,CMSIGBW,221.82,221.82,221.82,221.82,-0.088855829
6/30/1974,CMSIGBW,202.11,202.11,202.11,202.11,-0.097125328
7/31/1974,CMSIGBW,182.48,182.48,182.48,182.48,0.039237177
8/31/1974,CMSIGBW,189.64,189.64,189.64,189.64,-0.081206497
9/30/1974,CMSIGBW,174.24,174.24,174.24,174.24,0.178604224
10/31/1974,CMSIGBW,205.36,205.36,205.36,205.36,-0.021036229
11/30/1974,CMSIGBW,201.04,201.04,201.04,201.04,-0.05695384
12/31/1974,CMSIGBW,189.59,189.59,189.59,189.59,-0.05765072
1/31/1975,CMSIGBW,178.66,178.66,178.66,178.66,0.024403896
2/28/1975,CMSIGBW,183.02,183.02,183.02,183.02,-0.00988963
3/31/1975,CMSIGBW,181.21,181.21,181.21,181.21,-0.014292809
4/30/1975,CMSIGBW,178.62,178.62,178.62,178.62,0.093326615
5/31/1975,CMSIGBW,195.29,195.29,195.29,195.29,0.007578473
6/30/1975,CMSIGBW,196.77,196.77,196.77,196.77,0.093815114
7/31/1975,CMSIGBW,215.23,215.23,215.23,215.23,0.08256284
8/31/1975,CMSIGBW,233,233,233,233,0.173218884
9/30/1975,CMSIGBW,273.36,273.36,273.36,273.36,-0.228636231
10/31/1975,CMSIGBW,210.86,210.86,210.86,210.86,-0.000806222
11/30/1975,CMSIGBW,210.69,210.69,210.69,210.69,-0.040343633
12/31/1975,CMSIGBW,202.19,202.19,202.19,202.19,-0.008759088
1/31/1976,CMSIGBW,200.419,200.419,200.419,200.419,0.005902634
2/29/1976,CMSIGBW,201.602,201.602,201.602,201.602,0.070619339
3/31/1976,CMSIGBW,215.839,215.839,215.839,215.839,0.090243191
4/30/1976,CMSIGBW,235.317,235.317,235.317,235.317,0.050676322
5/31/1976,CMSIGBW,247.242,247.242,247.242,247.242,0.097176046
6/30/1976,CMSIGBW,271.268,271.268,271.268,271.268,-0.018483566
7/31/1976,CMSIGBW,266.254,266.254,266.254,266.254,-0.102451043
8/31/1976,CMSIGBW,238.976,238.976,238.976,238.976,0.041012487
9/30/1976,CMSIGBW,248.777,248.777,248.777,248.777,0.03566648
10/31/1976,CMSIGBW,257.65,257.65,257.65,257.65,0.032936154
11/30/1976,CMSIGBW,266.136,266.136,266.136,266.136,-0.040422942
12/31/1976,CMSIGBW,255.378,255.378,255.378,255.378,0.006038108
1/31/1977,CMSIGBW,256.92,256.92,256.92,256.92,0.03207224
2/28/1977,CMSIGBW,265.16,265.16,265.16,265.16,0.066827576
3/31/1977,CMSIGBW,282.88,282.88,282.88,282.88,-0.014529129
4/30/1977,CMSIGBW,278.77,278.77,278.77,278.77,-0.017541342
5/31/1977,CMSIGBW,273.88,273.88,273.88,273.88,-0.051263327
6/30/1977,CMSIGBW,259.84,259.84,259.84,259.84,0.062769397
7/31/1977,CMSIGBW,276.15,276.15,276.15,276.15,-0.069744704
8/31/1977,CMSIGBW,256.89,256.89,256.89,256.89,0.012690257
